,Station,Date,DOY,X_ITRF2014,Y_ITRF2014,Z_ITRF2014
234,RKPT,2019/11/19,2019323,-691198.942,-5591769.525,2979082.892
235,RKPT,2019/11/20,2019324,-691198.942,-5591769.524,2979082.893
244,RKPT,2019/11/21,2019325,-691198.941,-5591769.523,2979082.892
247,RKPT,2019/11/22,2019326,-691198.941,-5591769.526,2979082.894
253,RKPT,2019/11/23,2019327,-691198.943,-5591769.526,2979082.892
258,RKPT,2019/11/24,2019328,-691198.943,-5591769.523,2979082.892
263,RKPT,2019/11/25,2019329,-691198.942,-5591769.530,2979082.898
267,RKPT,2019/11/26,2019330,-691198.942,-5591769.533,2979082.899
271,RKPT,2019/11/27,2019331,-691198.941,-5591769.523,2979082.892
888,RKPT,2019/11/28,2019332,-691198.940,-5591769.521,2979082.891
892,RKPT,2019/11/29,2019333,-691198.943,-5591769.532,2979082.898
896,RKPT,2019/11/30,2019334,-691198.944,-5591769.531,2979082.897
900,RKPT,2019/12/01,2019335,-691198.944,-5591769.532,2979082.896
904,RKPT,2019/12/02,2019336,-691198.942,-5591769.524,2979082.892
907,RKPT,2019/12/03,2019337,-691198.942,-5591769.534,2979082.898
910,RKPT,2019/12/04,2019338,-691198.944,-5591769.526,2979082.893
913,RKPT,2019/12/05,2019339,-691198.943,-5591769.530,2979082.896
917,RKPT,2019/12/06,2019340,-691198.945,-5591769.533,2979082.900
919,RKPT,2019/12/07,2019341,-691198.943,-5591769.525,2979082.893
922,RKPT,2019/12/08,2019342,-691198.942,-5591769.524,2979082.891
925,RKPT,2019/12/09,2019343,-691198.943,-5591769.532,2979082.896
928,RKPT,2019/12/10,2019344,-691198.942,-5591769.527,2979082.895
932,RKPT,2019/12/11,2019345,-691198.942,-5591769.530,2979082.896
934,RKPT,2019/12/12,2019346,-691198.939,-5591769.530,2979082.898
938,RKPT,2019/12/13,2019347,-691198.938,-5591769.527,2979082.896
940,RKPT,2019/12/14,2019348,-691198.943,-5591769.529,2979082.897
943,RKPT,2019/12/15,2019349,-691198.943,-5591769.527,2979082.894
945,RKPT,2019/12/16,2019350,-691198.942,-5591769.531,2979082.898
948,RKPT,2019/12/17,2019351,-691198.941,-5591769.530,2979082.897
952,RKPT,2019/12/18,2019352,-691198.943,-5591769.528,2979082.894
954,RKPT,2019/12/19,2019353,-691198.944,-5591769.527,2979082.893
958,RKPT,2019/12/20,2019354,-691198.942,-5591769.525,2979082.894
960,RKPT,2019/12/21,2019355,-691198.941,-5591769.528,2979082.896
964,RKPT,2019/12/22,2019356,-691198.943,-5591769.527,2979082.895
967,RKPT,2019/12/23,2019357,-691198.944,-5591769.533,2979082.897
970,RKPT,2019/12/24,2019358,-691198.943,-5591769.526,2979082.892
973,RKPT,2019/12/25,2019359,-691198.943,-5591769.533,2979082.898
976,RKPT,2019/12/26,2019360,-691198.943,-5591769.530,2979082.896
981,RKPT,2019/12/27,2019361,-691198.942,-5591769.526,2979082.894
985,RKPT,2019/12/28,2019362,-691198.942,-5591769.525,2979082.893
988,RKPT,2019/12/29,2019363,-691198.941,-5591769.526,2979082.897
991,RKPT,2019/12/30,2019364,-691198.943,-5591769.530,2979082.898
993,RKPT,2019/12/31,2019365,-691198.942,-5591769.524,2979082.892
2,RKPT,2020/01/01,2020001,-691198.943,-5591769.530,2979082.895
4,RKPT,2020/01/02,2020002,-691198.943,-5591769.532,2979082.897
6,RKPT,2020/01/03,2020003,-691198.941,-5591769.524,2979082.894
12,RKPT,2020/01/05,2020005,-691198.943,-5591769.528,2979082.896
16,RKPT,2020/01/06,2020006,-691198.944,-5591769.529,2979082.896
17,RKPT,2020/01/07,2020007,-691198.943,-5591769.529,2979082.895
20,RKPT,2020/01/08,2020008,-691198.943,-5591769.532,2979082.898
23,RKPT,2020/01/09,2020009,-691198.943,-5591769.523,2979082.892
31,RKPT,2020/01/10,2020010,-691198.943,-5591769.529,2979082.896
27,RKPT,2020/01/11,2020011,-691198.943,-5591769.529,2979082.897
33,RKPT,2020/01/12,2020012,-691198.943,-5591769.525,2979082.893
44,RKPT,2020/01/13,2020013,-691198.944,-5591769.525,2979082.893
47,RKPT,2020/01/14,2020014,-691198.944,-5591769.529,2979082.895
466,RKPT,2020/01/15,2020015,-691198.943,-5591769.520,2979082.890
52,RKPT,2020/01/16,2020016,-691198.943,-5591769.529,2979082.895
55,RKPT,2020/01/17,2020017,-691198.943,-5591769.516,2979082.888
61,RKPT,2020/01/18,2020018,-691198.939,-5591769.519,2979082.890
65,RKPT,2020/01/19,2020019,-691198.943,-5591769.522,2979082.890
78,RKPT,2020/01/20,2020020,-691198.944,-5591769.525,2979082.891
83,RKPT,2020/01/21,2020021,-691198.943,-5591769.527,2979082.893
85,RKPT,2020/01/22,2020022,-691198.943,-5591769.530,2979082.898
88,RKPT,2020/01/23,2020023,-691198.945,-5591769.529,2979082.895
90,RKPT,2020/01/24,2020024,-691198.943,-5591769.527,2979082.894
100,RKPT,2020/01/25,2020025,-691198.942,-5591769.524,2979082.891
102,RKPT,2020/01/26,2020026,-691198.944,-5591769.530,2979082.896
105,RKPT,2020/01/27,2020027,-691198.943,-5591769.523,2979082.892
108,RKPT,2020/01/28,2020028,-691198.943,-5591769.529,2979082.895
113,RKPT,2020/01/29,2020029,-691198.945,-5591769.533,2979082.897
122,RKPT,2020/01/30,2020030,-691198.943,-5591769.528,2979082.894
126,RKPT,2020/01/31,2020031,-691198.944,-5591769.530,2979082.896
128,RKPT,2020/02/01,2020032,-691198.945,-5591769.525,2979082.891
131,RKPT,2020/02/02,2020033,-691198.944,-5591769.528,2979082.896
136,RKPT,2020/02/03,2020034,-691198.944,-5591769.525,2979082.892
145,RKPT,2020/02/04,2020035,-691198.944,-5591769.529,2979082.896
149,RKPT,2020/02/05,2020036,-691198.943,-5591769.528,2979082.894
152,RKPT,2020/02/06,2020037,-691198.945,-5591769.529,2979082.893
155,RKPT,2020/02/07,2020038,-691198.943,-5591769.531,2979082.897
159,RKPT,2020/02/08,2020039,-691198.942,-5591769.528,2979082.896
161,RKPT,2020/02/09,2020040,-691198.944,-5591769.526,2979082.894
163,RKPT,2020/02/10,2020041,-691198.944,-5591769.529,2979082.896
169,RKPT,2020/02/11,2020042,-691198.943,-5591769.533,2979082.896
171,RKPT,2020/02/12,2020043,-691198.944,-5591769.535,2979082.900
175,RKPT,2020/02/13,2020044,-691198.943,-5591769.522,2979082.891
183,RKPT,2020/02/14,2020045,-691198.944,-5591769.531,2979082.898
186,RKPT,2020/02/15,2020046,-691198.945,-5591769.526,2979082.894
188,RKPT,2020/02/16,2020047,-691198.944,-5591769.531,2979082.897
190,RKPT,2020/02/17,2020048,-691198.944,-5591769.527,2979082.893
193,RKPT,2020/02/18,2020049,-691198.944,-5591769.524,2979082.894
199,RKPT,2020/02/19,2020050,-691198.944,-5591769.528,2979082.893
202,RKPT,2020/02/20,2020051,-691198.942,-5591769.522,2979082.893
205,RKPT,2020/02/21,2020052,-691198.944,-5591769.525,2979082.892
211,RKPT,2020/02/22,2020053,-691198.945,-5591769.533,2979082.897
30,RKPT,2020/02/23,2020054,-691198.944,-5591769.528,2979082.894
35,RKPT,2020/02/24,2020055,-691198.944,-5591769.523,2979082.892
37,RKPT,2020/02/25,2020056,-691198.945,-5591769.529,2979082.895
39,RKPT,2020/02/26,2020057,-691198.946,-5591769.538,2979082.899
42,RKPT,2020/02/27,2020058,-691198.944,-5591769.526,2979082.893
214,RKPT,2020/02/28,2020059,-691198.945,-5591769.531,2979082.895
218,RKPT,2020/02/29,2020060,-691198.945,-5591769.527,2979082.893
221,RKPT,2020/03/01,2020061,-691198.944,-5591769.526,2979082.894
225,RKPT,2020/03/02,2020062,-691198.946,-5591769.530,2979082.895
230,RKPT,2020/03/03,2020063,-691198.945,-5591769.530,2979082.896
232,RKPT,2020/03/04,2020064,-691198.945,-5591769.532,2979082.897
238,RKPT,2020/03/05,2020065,-691198.945,-5591769.527,2979082.894
243,RKPT,2020/03/06,2020066,-691198.945,-5591769.526,2979082.894
251,RKPT,2020/03/07,2020067,-691198.945,-5591769.534,2979082.897
254,RKPT,2020/03/08,2020068,-691198.945,-5591769.530,2979082.896
261,RKPT,2020/03/09,2020069,-691198.945,-5591769.528,2979082.896
265,RKPT,2020/03/10,2020070,-691198.945,-5591769.524,2979082.893
273,RKPT,2020/03/11,2020071,-691198.945,-5591769.526,2979082.894
276,RKPT,2020/03/12,2020072,-691198.944,-5591769.529,2979082.895
278,RKPT,2020/03/13,2020073,-691198.946,-5591769.534,2979082.897
280,RKPT,2020/03/14,2020074,-691198.945,-5591769.533,2979082.897
282,RKPT,2020/03/15,2020075,-691198.946,-5591769.528,2979082.894
284,RKPT,2020/03/16,2020076,-691198.946,-5591769.532,2979082.895
286,RKPT,2020/03/17,2020077,-691198.944,-5591769.530,2979082.896
288,RKPT,2020/03/18,2020078,-691198.945,-5591769.529,2979082.896
290,RKPT,2020/03/19,2020079,-691198.945,-5591769.532,2979082.896
293,RKPT,2020/03/20,2020080,-691198.946,-5591769.532,2979082.897
294,RKPT,2020/03/21,2020081,-691198.943,-5591769.530,2979082.896
296,RKPT,2020/03/22,2020082,-691198.947,-5591769.533,2979082.898
300,RKPT,2020/03/23,2020083,-691198.944,-5591769.536,2979082.900
299,RKPT,2020/03/24,2020084,-691198.946,-5591769.532,2979082.896
302,RKPT,2020/03/25,2020085,-691198.946,-5591769.529,2979082.896
303,RKPT,2020/03/26,2020086,-691198.946,-5591769.530,2979082.895
306,RKPT,2020/03/27,2020087,-691198.946,-5591769.541,2979082.901
308,RKPT,2020/03/28,2020088,-691198.944,-5591769.537,2979082.899
310,RKPT,2020/03/29,2020089,-691198.945,-5591769.535,2979082.901
311,RKPT,2020/03/30,2020090,-691198.946,-5591769.537,2979082.901
314,RKPT,2020/03/31,2020091,-691198.945,-5591769.529,2979082.894
316,RKPT,2020/04/01,2020092,-691198.947,-5591769.530,2979082.894
318,RKPT,2020/04/02,2020093,-691198.946,-5591769.530,2979082.894
320,RKPT,2020/04/03,2020094,-691198.946,-5591769.532,2979082.897
322,RKPT,2020/04/04,2020095,-691198.947,-5591769.530,2979082.894
325,RKPT,2020/04/05,2020096,-691198.948,-5591769.530,2979082.895
326,RKPT,2020/04/06,2020097,-691198.945,-5591769.527,2979082.895
328,RKPT,2020/04/07,2020098,-691198.948,-5591769.525,2979082.893
770,RKPT,2020/04/08,2020099,-691198.947,-5591769.529,2979082.895
330,RKPT,2020/04/09,2020100,-691198.945,-5591769.532,2979082.896
333,RKPT,2020/04/10,2020101,-691198.947,-5591769.536,2979082.898
335,RKPT,2020/04/11,2020102,-691198.949,-5591769.535,2979082.900
338,RKPT,2020/04/12,2020103,-691198.946,-5591769.529,2979082.897
339,RKPT,2020/04/13,2020104,-691198.948,-5591769.535,2979082.898
341,RKPT,2020/04/14,2020105,-691198.947,-5591769.528,2979082.895
343,RKPT,2020/04/15,2020106,-691198.947,-5591769.533,2979082.898
345,RKPT,2020/04/16,2020107,-691198.948,-5591769.529,2979082.896
348,RKPT,2020/04/17,2020108,-691198.947,-5591769.534,2979082.898
349,RKPT,2020/04/18,2020109,-691198.947,-5591769.529,2979082.898
351,RKPT,2020/04/19,2020110,-691198.948,-5591769.537,2979082.900
353,RKPT,2020/04/20,2020111,-691198.946,-5591769.530,2979082.897
355,RKPT,2020/04/21,2020112,-691198.946,-5591769.531,2979082.894
357,RKPT,2020/04/22,2020113,-691198.946,-5591769.533,2979082.898
978,RKPT,2020/04/23,2020114,-691198.947,-5591769.529,2979082.896
57,RKPT,2020/04/24,2020115,-691198.947,-5591769.535,2979082.898
60,RKPT,2020/04/25,2020116,-691198.946,-5591769.523,2979082.893
68,RKPT,2020/04/26,2020117,-691198.947,-5591769.527,2979082.893
75,RKPT,2020/04/27,2020118,-691198.946,-5591769.536,2979082.899
74,RKPT,2020/04/28,2020119,-691198.945,-5591769.531,2979082.898
79,RKPT,2020/04/29,2020120,-691198.946,-5591769.526,2979082.895
359,RKPT,2020/04/30,2020121,-691198.947,-5591769.526,2979082.894
362,RKPT,2020/05/01,2020122,-691198.947,-5591769.533,2979082.898
364,RKPT,2020/05/02,2020123,-691198.946,-5591769.533,2979082.898
368,RKPT,2020/05/03,2020124,-691198.949,-5591769.533,2979082.897
371,RKPT,2020/05/04,2020125,-691198.947,-5591769.530,2979082.895
374,RKPT,2020/05/05,2020126,-691198.947,-5591769.531,2979082.897
392,RKPT,2020/05/06,2020127,-691198.945,-5591769.529,2979082.897
379,RKPT,2020/05/07,2020128,-691198.948,-5591769.533,2979082.897
380,RKPT,2020/05/08,2020129,-691198.947,-5591769.533,2979082.896
384,RKPT,2020/05/09,2020130,-691198.947,-5591769.536,2979082.899
387,RKPT,2020/05/10,2020131,-691198.949,-5591769.533,2979082.899
391,RKPT,2020/05/11,2020132,-691198.947,-5591769.528,2979082.895
395,RKPT,2020/05/12,2020133,-691198.946,-5591769.532,2979082.900
398,RKPT,2020/05/13,2020134,-691198.946,-5591769.532,2979082.898
402,RKPT,2020/05/14,2020135,-691198.942,-5591769.538,2979082.899
407,RKPT,2020/05/15,2020136,-691198.947,-5591769.529,2979082.896
411,RKPT,2020/05/16,2020137,-691198.948,-5591769.529,2979082.896
415,RKPT,2020/05/17,2020138,-691198.947,-5591769.528,2979082.894
413,RKPT,2020/05/18,2020139,-691198.949,-5591769.533,2979082.899
418,RKPT,2020/05/19,2020140,-691198.949,-5591769.534,2979082.899
420,RKPT,2020/05/20,2020141,-691198.947,-5591769.533,2979082.898
421,RKPT,2020/05/21,2020142,-691198.944,-5591769.536,2979082.898
423,RKPT,2020/05/22,2020143,-691198.947,-5591769.529,2979082.894
425,RKPT,2020/05/23,2020144,-691198.943,-5591769.537,2979082.900
427,RKPT,2020/05/24,2020145,-691198.946,-5591769.530,2979082.896
428,RKPT,2020/05/25,2020146,-691198.947,-5591769.537,2979082.899
432,RKPT,2020/05/26,2020147,-691198.946,-5591769.525,2979082.895
434,RKPT,2020/05/27,2020148,-691198.948,-5591769.534,2979082.899
436,RKPT,2020/05/28,2020149,-691198.948,-5591769.532,2979082.897
438,RKPT,2020/05/29,2020150,-691198.944,-5591769.527,2979082.896
440,RKPT,2020/05/30,2020151,-691198.949,-5591769.535,2979082.900
442,RKPT,2020/05/31,2020152,-691198.946,-5591769.532,2979082.899
444,RKPT,2020/06/01,2020153,-691198.949,-5591769.528,2979082.894
447,RKPT,2020/06/02,2020154,-691198.946,-5591769.533,2979082.898
446,RKPT,2020/06/03,2020155,-691198.946,-5591769.538,2979082.899
449,RKPT,2020/06/04,2020156,-691198.949,-5591769.531,2979082.895
452,RKPT,2020/06/05,2020157,-691198.944,-5591769.537,2979082.901
454,RKPT,2020/06/06,2020158,-691198.947,-5591769.526,2979082.893
456,RKPT,2020/06/07,2020159,-691198.947,-5591769.534,2979082.897
458,RKPT,2020/06/08,2020160,-691198.947,-5591769.536,2979082.898
460,RKPT,2020/06/09,2020161,-691198.948,-5591769.527,2979082.895
462,RKPT,2020/06/10,2020162,-691198.946,-5591769.535,2979082.898
463,RKPT,2020/06/11,2020163,-691198.948,-5591769.536,2979082.899
467,RKPT,2020/06/12,2020164,-691198.946,-5591769.524,2979082.893
470,RKPT,2020/06/13,2020165,-691198.948,-5591769.522,2979082.891
472,RKPT,2020/06/14,2020166,-691198.949,-5591769.533,2979082.898
476,RKPT,2020/06/15,2020167,-691198.948,-5591769.532,2979082.901
478,RKPT,2020/06/16,2020168,-691198.948,-5591769.531,2979082.897
481,RKPT,2020/06/17,2020169,-691198.948,-5591769.533,2979082.899
91,RKPT,2020/06/18,2020170,-691198.945,-5591769.541,2979082.898
95,RKPT,2020/06/19,2020171,-691198.951,-5591769.535,2979082.898
98,RKPT,2020/06/20,2020172,-691198.949,-5591769.544,2979082.902
107,RKPT,2020/06/21,2020173,-691198.948,-5591769.535,2979082.897
112,RKPT,2020/06/22,2020174,-691198.949,-5591769.538,2979082.899
117,RKPT,2020/06/23,2020175,-691198.947,-5591769.534,2979082.901
120,RKPT,2020/06/24,2020176,-691198.948,-5591769.539,2979082.897
125,RKPT,2020/06/25,2020177,-691198.954,-5591769.533,2979082.901
132,RKPT,2020/06/26,2020178,-691198.945,-5591769.527,2979082.894
135,RKPT,2020/06/27,2020179,-691198.948,-5591769.526,2979082.895
138,RKPT,2020/06/28,2020180,-691198.948,-5591769.536,2979082.898
141,RKPT,2020/06/29,2020181,-691198.949,-5591769.532,2979082.895
143,RKPT,2020/06/30,2020182,-691198.948,-5591769.531,2979082.894
484,RKPT,2020/07/01,2020183,-691198.945,-5591769.527,2979082.893
486,RKPT,2020/07/02,2020184,-691198.946,-5591769.524,2979082.891
488,RKPT,2020/07/03,2020185,-691198.948,-5591769.524,2979082.892
490,RKPT,2020/07/04,2020186,-691198.947,-5591769.529,2979082.893
493,RKPT,2020/07/05,2020187,-691198.948,-5591769.524,2979082.892
495,RKPT,2020/07/06,2020188,-691198.948,-5591769.526,2979082.893
496,RKPT,2020/07/07,2020189,-691198.946,-5591769.527,2979082.893
499,RKPT,2020/07/08,2020190,-691198.946,-5591769.527,2979082.892
501,RKPT,2020/07/09,2020191,-691198.948,-5591769.525,2979082.892
503,RKPT,2020/07/10,2020192,-691198.948,-5591769.531,2979082.894
505,RKPT,2020/07/11,2020193,-691198.948,-5591769.530,2979082.894
506,RKPT,2020/07/12,2020194,-691198.950,-5591769.528,2979082.894
509,RKPT,2020/07/13,2020195,-691198.949,-5591769.532,2979082.895
510,RKPT,2020/07/14,2020196,-691198.947,-5591769.526,2979082.892
513,RKPT,2020/07/15,2020197,-691198.950,-5591769.529,2979082.894
515,RKPT,2020/07/16,2020198,-691198.949,-5591769.527,2979082.893
517,RKPT,2020/07/17,2020199,-691198.949,-5591769.529,2979082.898
521,RKPT,2020/07/18,2020200,-691198.947,-5591769.525,2979082.895
523,RKPT,2020/07/19,2020201,-691198.949,-5591769.523,2979082.895
528,RKPT,2020/07/20,2020202,-691198.950,-5591769.533,2979082.895
530,RKPT,2020/07/21,2020203,-691198.950,-5591769.531,2979082.895
533,RKPT,2020/07/22,2020204,-691198.949,-5591769.531,2979082.898
536,RKPT,2020/07/23,2020205,-691198.952,-5591769.529,2979082.894
540,RKPT,2020/07/24,2020206,-691198.951,-5591769.533,2979082.896
542,RKPT,2020/07/25,2020207,-691198.952,-5591769.529,2979082.894
544,RKPT,2020/07/26,2020208,-691198.950,-5591769.529,2979082.895
548,RKPT,2020/07/27,2020209,-691198.948,-5591769.528,2979082.894
551,RKPT,2020/07/28,2020210,-691198.949,-5591769.534,2979082.896
554,RKPT,2020/07/29,2020211,-691198.949,-5591769.530,2979082.898
557,RKPT,2020/07/30,2020212,-691198.949,-5591769.528,2979082.896
560,RKPT,2020/07/31,2020213,-691198.950,-5591769.528,2979082.897
563,RKPT,2020/08/01,2020214,-691198.949,-5591769.550,2979082.904
566,RKPT,2020/08/02,2020215,-691198.948,-5591769.532,2979082.898
570,RKPT,2020/08/03,2020216,-691198.948,-5591769.535,2979082.898
572,RKPT,2020/08/04,2020217,-691198.950,-5591769.529,2979082.894
574,RKPT,2020/08/05,2020218,-691198.950,-5591769.535,2979082.898
578,RKPT,2020/08/06,2020219,-691198.949,-5591769.537,2979082.900
581,RKPT,2020/08/07,2020220,-691198.950,-5591769.528,2979082.893
584,RKPT,2020/08/08,2020221,-691198.950,-5591769.524,2979082.891
587,RKPT,2020/08/09,2020222,-691198.945,-5591769.529,2979082.897
590,RKPT,2020/08/10,2020223,-691198.948,-5591769.525,2979082.895
592,RKPT,2020/08/11,2020224,-691198.950,-5591769.529,2979082.894
595,RKPT,2020/08/12,2020225,-691198.949,-5591769.530,2979082.894
598,RKPT,2020/08/13,2020226,-691198.950,-5591769.533,2979082.896
602,RKPT,2020/08/14,2020227,-691198.949,-5591769.531,2979082.898
606,RKPT,2020/08/15,2020228,-691198.951,-5591769.534,2979082.898
146,RKPT,2020/08/16,2020229,-691198.948,-5591769.530,2979082.898
157,RKPT,2020/08/17,2020230,-691198.950,-5591769.524,2979082.892
167,RKPT,2020/08/18,2020231,-691198.949,-5591769.517,2979082.891
176,RKPT,2020/08/19,2020232,-691198.950,-5591769.539,2979082.896
182,RKPT,2020/08/20,2020233,-691198.948,-5591769.529,2979082.895
610,RKPT,2020/08/21,2020234,-691198.950,-5591769.535,2979082.898
615,RKPT,2020/08/22,2020235,-691198.949,-5591769.522,2979082.890
619,RKPT,2020/08/23,2020236,-691198.944,-5591769.533,2979082.894
622,RKPT,2020/08/24,2020237,-691198.951,-5591769.528,2979082.894
625,RKPT,2020/08/25,2020238,-691198.949,-5591769.528,2979082.895
628,RKPT,2020/08/26,2020239,-691198.951,-5591769.536,2979082.898
631,RKPT,2020/08/27,2020240,-691198.951,-5591769.523,2979082.890
634,RKPT,2020/08/28,2020241,-691198.950,-5591769.517,2979082.890
637,RKPT,2020/08/29,2020242,-691198.952,-5591769.529,2979082.897
640,RKPT,2020/08/30,2020243,-691198.948,-5591769.525,2979082.892
643,RKPT,2020/08/31,2020244,-691198.947,-5591769.529,2979082.898
996,RKPT,2020/09/01,2020245,-691198.949,-5591769.527,2979082.893
647,RKPT,2020/09/02,2020246,-691198.949,-5591769.523,2979082.891
650,RKPT,2020/09/03,2020247,-691198.949,-5591769.537,2979082.899
653,RKPT,2020/09/04,2020248,-691198.951,-5591769.529,2979082.894
656,RKPT,2020/09/05,2020249,-691198.952,-5591769.541,2979082.902
659,RKPT,2020/09/06,2020250,-691198.949,-5591769.535,2979082.898
662,RKPT,2020/09/07,2020251,-691198.950,-5591769.528,2979082.896
665,RKPT,2020/09/08,2020252,-691198.948,-5591769.533,2979082.898
668,RKPT,2020/09/09,2020253,-691198.950,-5591769.523,2979082.894
671,RKPT,2020/09/10,2020254,-691198.952,-5591769.535,2979082.898
675,RKPT,2020/09/11,2020255,-691198.949,-5591769.530,2979082.896
679,RKPT,2020/09/12,2020256,-691198.948,-5591769.528,2979082.896
683,RKPT,2020/09/13,2020257,-691198.949,-5591769.517,2979082.888
687,RKPT,2020/09/14,2020258,-691198.947,-5591769.526,2979082.892
693,RKPT,2020/09/15,2020259,-691198.950,-5591769.514,2979082.889
695,RKPT,2020/09/16,2020260,-691198.952,-5591769.532,2979082.897
698,RKPT,2020/09/17,2020261,-691198.953,-5591769.530,2979082.896
702,RKPT,2020/09/18,2020262,-691198.954,-5591769.523,2979082.894
705,RKPT,2020/09/19,2020263,-691198.952,-5591769.527,2979082.896
709,RKPT,2020/09/20,2020264,-691198.951,-5591769.514,2979082.890
715,RKPT,2020/09/21,2020265,-691198.951,-5591769.532,2979082.896
718,RKPT,2020/09/22,2020266,-691198.949,-5591769.520,2979082.892
722,RKPT,2020/09/23,2020267,-691198.950,-5591769.515,2979082.886
726,RKPT,2020/09/24,2020268,-691198.951,-5591769.519,2979082.890
730,RKPT,2020/09/25,2020269,-691198.951,-5591769.524,2979082.890
734,RKPT,2020/09/26,2020270,-691198.951,-5591769.524,2979082.892
738,RKPT,2020/09/27,2020271,-691198.951,-5591769.527,2979082.892
742,RKPT,2020/09/28,2020272,-691198.952,-5591769.523,2979082.891
191,RKPT,2020/09/29,2020273,-691198.951,-5591769.520,2979082.890
198,RKPT,2020/09/30,2020274,-691198.951,-5591769.519,2979082.889
206,RKPT,2020/10/01,2020275,-691198.951,-5591769.527,2979082.895
213,RKPT,2020/10/02,2020276,-691198.950,-5591769.516,2979082.888
223,RKPT,2020/10/03,2020277,-691198.952,-5591769.521,2979082.890
997,RKPT,2020/10/04,2020278,-691198.952,-5591769.523,2979082.892
750,RKPT,2020/10/05,2020279,-691198.951,-5591769.522,2979082.891
754,RKPT,2020/10/06,2020280,-691198.951,-5591769.518,2979082.888
758,RKPT,2020/10/07,2020281,-691198.951,-5591769.517,2979082.888
762,RKPT,2020/10/08,2020282,-691198.951,-5591769.519,2979082.890
766,RKPT,2020/10/09,2020283,-691198.952,-5591769.532,2979082.895
771,RKPT,2020/10/10,2020284,-691198.950,-5591769.520,2979082.889
775,RKPT,2020/10/11,2020285,-691198.951,-5591769.518,2979082.889
275,RKPT,2020/11/24,2020329,-691198.952,-5591769.529,2979082.896
268,RKPT,2020/11/25,2020330,-691198.953,-5591769.529,2979082.893
885,RKPT,2020/11/26,2020331,-691198.953,-5591769.524,2979082.893
889,RKPT,2020/11/27,2020332,-691198.952,-5591769.525,2979082.893
893,RKPT,2020/11/28,2020333,-691198.953,-5591769.521,2979082.890
897,RKPT,2020/11/29,2020334,-691198.953,-5591769.521,2979082.887
902,RKPT,2020/11/30,2020335,-691198.952,-5591769.528,2979082.893
